$ python analyze.py fam games sim.try_move,sim.check_position sim.check_block,sim.check_line frame.thing_record_body,proj.project_thing,sim.thing_load,sim.thing_pass stream.emit_col_lines,stream.sprite_runs,stream.emit_region hex.ptr_index,hex.read_hex,hex.write_hex,hex.write_byte
family sim.try_move,sim.check_position: 7 executed instances; top 40 by ops/frame
   ops/frame   calls/fr   ops/call  call site  |  path head
      34,727     151.78        229  hex.read_hex dval8, dptr                // drawn[] holds 0/1 -- one ni  |  frame.seg_pass1_leaf_body_li---hex.read_hex(2)
      19,909      75.00        265    |  sim.bind_things(3)---hex.read_hex(3)---hex.read_hex_and_inc(2)
      19,501      75.00        260    |  sim.bind_things(3)---hex.read_hex(3)---hex.read_hex_and_inc(2)
      18,769      75.00        250    |  sim.bind_things(3)---hex.read_hex(3)---hex.read_hex_and_inc(2)
      18,386      75.00        245    |  sim.bind_things(3)---hex.read_hex(3)---hex.read_hex_and_inc(2)
      18,200      19.32        942  hex.ptr_index hp, hq, h                // h is consumed as the INDEX b  |  sim.thing_pass(3)---hex.ptr_index(3)
      17,449      19.32        903  hex.ptr_index pptr, pbase, poff  |  sim.thing_pass(3)---sim.thing_load(4)---hex.ptr_index(3)
       6,228      10.94        570    |  frame.thing_record_body(26)---hex.write_byte_and_inc(2)---hex.write_byte(2)
       5,694      19.32        295    |  sim.thing_pass(3)---sim.thing_load(4)---hex.read_hex(3)
       5,607      19.32        290    |  sim.thing_pass(3)---sim.thing_load(4)---hex.read_hex(3)
       5,461      19.32        283    |  sim.thing_pass(3)---sim.thing_load(4)---hex.read_hex(3)
       5,406      19.32        280    |  sim.thing_pass(3)---sim.thing_load(4)---hex.read_hex(3)
       5,383      19.32        279    |  sim.thing_pass(3)---sim.thing_load(4)---hex.read_hex(3)
       5,377      19.32        278    |  sim.thing_pass(3)---sim.thing_load(4)---hex.read_hex(3)
       5,331      19.32        276    |  sim.thing_pass(3)---sim.thing_load(4)---hex.read_hex(3)
       5,328      19.32        276    |  sim.thing_pass(3)---sim.thing_load(4)---hex.read_hex(3)
       5,248      19.32        272    |  sim.thing_pass(3)---sim.thing_load(4)---hex.read_hex(3)
       5,201      19.32        269    |  sim.thing_pass(3)---sim.thing_load(4)---hex.read_hex(3)
       5,154      19.32        267    |  sim.thing_pass(3)---sim.thing_load(4)---hex.read_hex(3)
       5,019      19.32        260    |  sim.thing_pass(3)---sim.thing_load(4)---hex.read_hex(3)
       5,000      19.32        259    |  sim.thing_pass(3)---sim.thing_load(4)---hex.read_hex(3)
       4,942      19.32        256    |  sim.thing_pass(3)---sim.thing_load(4)---hex.read_hex(3)
       4,886      19.32        253    |  sim.thing_pass(3)---sim.thing_load(4)---hex.read_hex(3)
       4,841      19.32        251    |  sim.thing_pass(3)---sim.thing_load(4)---hex.read_hex(3)
       3,689       5.96        619    |  frame.thing_record_body(26)---hex.write_byte_and_inc(2)---hex.write_byte(2)
       3,456      14.73        235  hex.read_hex trb_drawn_v, trb_drawn_p     // drawn[] holds 0/1 -- one   |  frame.thing_record_body(26)---hex.read_hex(2)
       2,779      11.50        242  hex.read_hex trb_drawn_v, trb_drawn_p     // drawn[] holds 0/1 -- one   |  frame.thing_record_body(26)---hex.read_hex(2)

